step,cd_proxy,cl_proxy,mass,effective_re,tau,probe_vorticity,max_speed
333,5.7909890791,-0.0747163462,1.0009749631,100.000000,0.54628571,0.0000030426,0.0832627440
335,5.7536232076,-0.0736920572,1.0010321884,100.000000,0.54628571,0.0000030573,0.0831911804
337,5.7212019680,-0.0723731289,1.0010871155,100.000000,0.54628571,0.0000030681,0.0831247663
339,5.6933988461,-0.0707039607,1.0011398156,100.000000,0.54628571,0.0000030785,0.0830594337
341,5.6698263614,-0.0685972746,1.0011903807,100.000000,0.54628571,0.0000030926,0.0829905844
343,5.6503706214,-0.0659435087,1.0012389163,100.000000,0.54628571,0.0000031130,0.0829148326
345,5.6354262157,-0.0626246454,1.0012855311,100.000000,0.54628571,0.0000031397,0.0828316639
347,5.6259408545,-0.0585291679,1.0013303253,100.000000,0.54628571,0.0000031701,0.0827440772
349,5.6232911733,-0.0535676592,1.0013733819,100.000000,0.54628571,0.0000032006,0.0826577125
351,5.6291112979,-0.0476905637,1.0014147628,100.000000,0.54628571,0.0000032284,0.0825787283
353,5.6451696152,-0.0409084882,1.0014545144,100.000000,0.54628571,0.0000032540,0.0825113822
355,5.6732783521,-0.0333109873,1.0014926773,100.000000,0.54628571,0.0000032816,0.0824564887
357,5.7151582136,-0.0250751402,1.0015292958,100.000000,0.54628571,0.0000033162,0.0824114993
359,5.7722170955,-0.0164548892,1.0015644210,100.000000,0.54628571,0.0000033583,0.0823720801
361,5.8452746952,-0.0077483525,1.0015981092,100.000000,0.54628571,0.0000033978,0.0823342869
363,5.9343153010,0.0007493223,1.0016304157,100.000000,0.54628571,0.0000034125,0.0822962242
365,6.0383741355,0.0087917476,1.0016613922,100.000000,0.54628571,0.0000033740,0.0822584889
367,6.1556481414,0.0162096822,1.0016910859,100.000000,0.54628571,0.0000032638,0.0822234052
369,6.2838387466,0.0229147974,1.0017195436,100.000000,0.54628571,0.0000030951,0.0821936131
371,6.4205970375,0.0288840656,1.0017468143,100.000000,0.54628571,0.0000029257,0.0821707318
373,6.5638471188,0.0341377059,1.0017729500,100.000000,0.54628571,0.0000028406,0.0821546380
375,6.7118074780,0.0387217890,1.0017980032,100.000000,0.54628571,0.0000029015,0.0821435330
377,6.8627066055,0.0426980679,1.0018220226,100.000000,0.54628571,0.0000030917,0.0821347603
379,7.0143886970,0.0461361689,1.0018450476,100.000000,0.54628571,0.0000033073,0.0821256768
381,7.1641006823,0.0491027590,1.0018671053,100.000000,0.54628571,0.0000034171,0.0821135979
383,7.3086777835,0.0516477199,1.0018882086,100.000000,0.54628571,0.0000033548,0.0820970335
385,7.4451272980,0.0537925021,1.0019083572,100.000000,0.54628571,0.0000031743,0.0820844842
387,7.5713583738,0.0555254631,1.0019275400,100.000000,0.54628571,0.0000030209,0.0820718054
389,7.6866704142,0.0568036058,1.0019457394,100.000000,0.54628571,0.0000030349,0.0820532940
391,7.7917019191,0.0575550221,1.0019629379,100.000000,0.54628571,0.0000032518,0.0820282599
393,7.8878293304,0.0576764186,1.0019791257,100.000000,0.54628571,0.0000035713,0.0819969880
395,7.9763241263,0.0570254293,1.0019943103,100.000000,0.54628571,0.0000038182,0.0819609747
397,8.0577204687,0.0554138086,1.0020085236,100.000000,0.54628571,0.0000038526,0.0819228116
399,8.1317172997,0.0526108160,1.0020218259,100.000000,0.54628571,0.0000036528,0.0818856508
401,8.1976178548,0.0483651328,1.0020343042,100.000000,0.54628571,0.0000033150,0.0818523533
403,8.2549962820,0.0424497764,1.0020460645,100.000000,0.54628571,0.0000029805,0.0818245936
405,8.3041611727,0.0347283760,1.0020572207,100.000000,0.54628571,0.0000027539,0.0818022601
407,8.3461171777,0.0252323393,1.0020678817,100.000000,0.54628571,0.0000026727,0.0817833986
409,8.3820153234,0.0142277748,1.0020781412,100.000000,0.54628571,0.0000027310,0.0817647297
411,8.4123583807,0.0022431760,1.0020880705,100.000000,0.54628571,0.0000029130,0.0817425508
